id,cedulaPostulante,numeroOpcion,nombreCarrera,tipoExamen,fecha,hora,lugar,aula,puntajeObtenido
,1101000025,2,Comunicacion,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,126,57.74
,1101000026,1,Artes Visuales,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,127,6.96
,1101000026,2,Marketing,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,127,6.96
,1101000027,1,Nutricion y Dietetica,ADMISION,2024-11-16,10:00,Campus Utpl,128,22.79
,1101000027,2,Finanzas,DIAGNOSTICO,2024-11-16,10:00,Campus Utpl,128,22.79
,1101000028,1,Economia,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,129,98.52
,1101000028,2,Medicina,ADMISION,2024-11-15,09:00,Campus Utpl,129,98.52
,1101000029,1,Bioquimica y Farmacia,ADMISION,2024-11-16,11:00,Campus Utpl,101,86.65
,1101000029,2,Comunicacion,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,101,86.65
,1101000030,1,Psicologia,ADMISION,2024-11-15,15:00,Campus Utpl,102,27.8
,1101000030,2,Derecho,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,102,27.8
,1101000031,1,Artes Escenicas,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,103,83.41
,1101000031,2,Agropecuaria,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,103,83.41
,1101000032,1,Enfermeria,ADMISION,2024-11-15,09:00,Campus Utpl,104,37.02
,1101000032,2,Agropecuaria,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,104,37.02
,1101000033,1,Comunicacion,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,105,67.02
,1101000033,2,Alimentos,ADMISION,2024-11-16,15:00,Campus Utpl,105,67.02
,1101000034,1,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-15,15:00,Campus Utpl,106,93.67
,1101000034,2,Comunicacion,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,106,93.67
,1101000035,1,Ingenieria Civil,ADMISION,2024-11-16,15:00,Campus Utpl,107,7.14
,1101000035,2,Economia,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,107,7.14
,1101000036,1,Administracion de Empresas,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,108,17.11
,1101000036,2,Agropecuaria,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,108,17.11
,1101000037,1,Agropecuaria,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,109,24.48
,1101000037,2,Educacion Basica,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,109,24.48
,1101000038,1,Psicologia Clinica,ADMISION,2024-11-15,15:00,Campus Utpl,110,37.95
,1101000038,2,Economia,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,110,37.95
,1101000039,1,Educacion Basica,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,111,68.82
,1101000039,2,Biologia,ADMISION,2024-11-16,09:00,Campus Utpl,111,68.82
,1101000040,1,Enfermeria,ADMISION,2024-11-15,08:00,Campus Utpl,112,68.46
,1101000040,2,Comunicacion,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,112,68.46
,1101000041,1,Geologia,ADMISION,2024-11-16,08:00,Campus Utpl,113,22.9
,1101000041,2,Nutricion y Dietetica,ADMISION,2024-11-16,08:00,Campus Utpl,113,22.9
,1101000042,1,Bioquimica y Farmacia,ADMISION,2024-11-15,11:00,Campus Utpl,114,80.5
,1101000042,2,Alimentos,ADMISION,2024-11-15,11:00,Campus Utpl,114,80.5
,1101000043,1,Artes Escenicas,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,115,26.77
,1101000043,2,Educacion Basica,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,115,26.77
,1101000044,1,Alimentos,ADMISION,2024-11-15,14:00,Campus Utpl,116,91.31
,1101000044,2,Biologia,ADMISION,2024-11-15,14:00,Campus Utpl,116,91.31
,1101000045,1,Bioquimica y Farmacia,ADMISION,2024-11-16,10:00,Campus Utpl,117,87.64
,1101000045,2,Psicologia,ADMISION,2024-11-16,10:00,Campus Utpl,117,87.64
,1101000046,1,Ingenieria Ambiental,ADMISION,2024-11-15,11:00,Campus Utpl,118,21.26
,1101000046,2,Marketing,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,118,21.26
,1101000047,1,Medicina,ADMISION,2024-11-16,15:00,Campus Utpl,119,39.56
,1101000047,2,Artes Visuales,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,119,39.56
,1101000048,1,Nutricion y Dietetica,ADMISION,2024-11-15,10:00,Campus Utpl,120,45.89
,1101000048,2,Psicologia Clinica,ADMISION,2024-11-15,10:00,Campus Utpl,120,45.89
,1101000049,1,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,121,13.96
,1101000049,2,Artes Visuales,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,121,13.96
,1101000050,1,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-15,10:00,Campus Utpl,122,56.14
,1101000050,2,Agropecuaria,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,122,56.14
,1101000051,1,Administracion de Empresas,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,123,74.7
,1101000051,2,Ingenieria Civil,ADMISION,2024-11-16,11:00,Campus Utpl,123,74.7
,1101000052,1,Artes Visuales,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,124,89.78
,1101000052,2,Psicologia Clinica,ADMISION,2024-11-15,11:00,Campus Utpl,124,89.78
,1101000053,1,Psicologia Clinica,ADMISION,2024-11-16,09:00,Campus Utpl,125,36.2
,1101000053,2,Enfermeria,ADMISION,2024-11-16,09:00,Campus Utpl,125,36.2
,1101000054,1,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,126,50.95
,1101000054,2,Artes Visuales,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,126,50.95
,1101000055,1,Educacion Basica,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,127,75.58
,1101000055,2,Psicologia Clinica,ADMISION,2024-11-16,08:00,Campus Utpl,127,75.58
,1101000056,1,Medicina,ADMISION,2024-11-15,09:00,Campus Utpl,128,15.28
,1101000056,2,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,128,15.28
,1101000057,1,Finanzas,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,129,79.21
,1101000057,2,Administracion de Empresas,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,129,79.21
,1101000058,1,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,101,59.64
,1101000058,2,Telecomunicaciones,ADMISION,2024-11-15,11:00,Campus Utpl,101,59.64
,1101000059,1,Medicina,ADMISION,2024-11-16,11:00,Campus Utpl,102,38.16
,1101000059,2,Artes Visuales,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,102,38.16
,1101000060,1,Ingenieria Ambiental,ADMISION,2024-11-15,14:00,Campus Utpl,103,52.91
,1101000060,2,Artes Escenicas,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,103,52.91
,1101000061,1,Nutricion y Dietetica,ADMISION,2024-11-16,08:00,Campus Utpl,104,86.08
,1101000061,2,Marketing,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,104,86.08
,1101000062,1,Agropecuaria,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,105,68.03
,1101000062,2,Ingenieria Ambiental,ADMISION,2024-11-15,08:00,Campus Utpl,105,68.03
,1101000063,1,Geologia,ADMISION,2024-11-16,14:00,Campus Utpl,106,68.17
,1101000063,2,Psicopedagogia,DIAGNOSTICO,2024-11-16,14:00,Campus Utpl,106,68.17
,1101000064,1,Artes Escenicas,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,107,75.09
,1101000064,2,Ingenieria Civil,ADMISION,2024-11-15,15:00,Campus Utpl,107,75.09
,1101000065,1,Artes Escenicas,DIAGNOSTICO,2024-11-16,10:00,Campus Utpl,108,34.02
,1101000065,2,Biologia,ADMISION,2024-11-16,10:00,Campus Utpl,108,34.02
,1101000066,1,Marketing,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,109,43.48
,1101000066,2,Artes Visuales,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,109,43.48
,1101000067,1,Agropecuaria,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,110,0.32
,1101000067,2,Artes Visuales,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,110,0.32
,1101000068,1,Marketing,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,111,87.59
,1101000068,2,Agropecuaria,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,111,87.59
,1101000069,1,Psicopedagogia,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,112,97.19
,1101000069,2,Artes Escenicas,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,112,97.19
,1101000070,1,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-15,08:00,Campus Utpl,113,50.77
,1101000070,2,Arquitectura,ADMISION,2024-11-15,08:00,Campus Utpl,113,50.77
,1101000071,1,Biologia,ADMISION,2024-11-16,10:00,Campus Utpl,114,87.05
,1101000071,2,Bioquimica y Farmacia,ADMISION,2024-11-16,10:00,Campus Utpl,114,87.05
,1101000072,1,Psicologia Clinica,ADMISION,2024-11-15,14:00,Campus Utpl,115,84.17
,1101000072,2,Medicina,ADMISION,2024-11-15,14:00,Campus Utpl,115,84.17
,1101000073,1,Alimentos,ADMISION,2024-11-16,09:00,Campus Utpl,116,60.9
,1101000073,2,Agropecuaria,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,116,60.9
,1101000074,1,Geologia,ADMISION,2024-11-15,09:00,Campus Utpl,117,37.39
,1101000074,2,Economia,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,117,37.39
,1101000075,1,Ingenieria Civil,ADMISION,2024-11-16,14:00,Campus Utpl,118,53.94
,1101000075,2,Agropecuaria,DIAGNOSTICO,2024-11-16,14:00,Campus Utpl,118,53.94
,1101000076,1,Comunicacion,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,119,91.85
,1101000076,2,Economia,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,119,91.85
,1101000077,1,Comunicacion,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,120,32.42
,1101000077,2,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-16,08:00,Campus Utpl,120,32.42
,1101000078,1,Agropecuaria,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,121,11.19
,1101000078,2,Telecomunicaciones,ADMISION,2024-11-15,10:00,Campus Utpl,121,11.19
,1101000079,1,Finanzas,DIAGNOSTICO,2024-11-16,10:00,Campus Utpl,122,87.87
,1101000079,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-16,10:00,Campus Utpl,122,87.87
,1101000080,1,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-15,09:00,Campus Utpl,123,23.95
,1101000080,2,Economia,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,123,23.95
,1101000081,1,Biologia,ADMISION,2024-11-16,08:00,Campus Utpl,124,87.8
,1101000081,2,Psicologia,ADMISION,2024-11-16,08:00,Campus Utpl,124,87.8
,1101000082,1,Bioquimica y Farmacia,ADMISION,2024-11-15,11:00,Campus Utpl,125,8.57
,1101000082,2,Alimentos,ADMISION,2024-11-15,11:00,Campus Utpl,125,8.57
,1101000083,1,Geologia,ADMISION,2024-11-16,14:00,Campus Utpl,126,81.6
,1101000083,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-16,14:00,Campus Utpl,126,81.6
,1101000084,1,Geologia,ADMISION,2024-11-15,09:00,Campus Utpl,127,76.58
,1101000084,2,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,127,76.58
,1101000085,1,Educacion Basica,DIAGNOSTICO,2024-11-16,14:00,Campus Utpl,128,65.98
,1101000085,2,Ingenieria Civil,ADMISION,2024-11-16,14:00,Campus Utpl,128,65.98
,1101000086,1,Agropecuaria,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,129,16.51
,1101000086,2,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,129,16.51
,1101000087,1,Arquitectura,ADMISION,2024-11-16,11:00,Campus Utpl,101,87.24
,1101000087,2,Alimentos,ADMISION,2024-11-16,11:00,Campus Utpl,101,87.24
,1101000088,1,Psicologia,ADMISION,2024-11-15,14:00,Campus Utpl,102,96.44
,1101000088,2,Artes Visuales,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,102,96.44
,1101000089,1,Enfermeria,ADMISION,2024-11-16,15:00,Campus Utpl,103,75.53
,1101000089,2,Marketing,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,103,75.53
,1101000090,1,Finanzas,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,104,20.12
,1101000090,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-15,10:00,Campus Utpl,104,20.12
,1101000091,1,Educacion Basica,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,105,39.9
,1101000091,2,Comunicacion,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,105,39.9
,1101000092,1,Ingenieria Civil,ADMISION,2024-11-15,11:00,Campus Utpl,106,64.99
,1101000092,2,Medicina,ADMISION,2024-11-15,11:00,Campus Utpl,106,64.99
,1101000093,1,Derecho,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,107,89.96
,1101000093,2,Artes Visuales,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,107,89.96
,1101000094,1,Administracion de Empresas,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,108,12.1
,1101000094,2,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-15,09:00,Campus Utpl,108,12.1
,1101000095,1,Nutricion y Dietetica,ADMISION,2024-11-16,08:00,Campus Utpl,109,6.4
,1101000095,2,Psicopedagogia,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,109,6.4
,1101000096,1,Artes Visuales,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,110,58.83
,1101000096,2,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,110,58.83
,1101000097,1,Telecomunicaciones,ADMISION,2024-11-16,08:00,Campus Utpl,111,58.84
,1101000097,2,Artes Escenicas,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,111,58.84
,1101000098,1,Comunicacion,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,112,7.1
,1101000098,2,Agropecuaria,DIAGNOSTICO,2024-11-15,15:00,Campus Utpl,112,7.1
,1101000099,1,Arquitectura,ADMISION,2024-11-16,08:00,Campus Utpl,113,5.89
,1101000099,2,Derecho,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,113,5.89
,1101000100,1,Agropecuaria,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,114,90.54
,1101000100,2,Administracion de Empresas,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,114,90.54
,1101000101,1,Alimentos,ADMISION,2024-11-16,09:00,Campus Utpl,115,7.09
,1101000101,2,Agropecuaria,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,115,7.09
,1101000102,1,Finanzas,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,116,27.85
,1101000102,2,Derecho,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,116,27.85
,1101000103,1,Medicina,ADMISION,2024-11-16,09:00,Campus Utpl,117,21.42
,1101000103,2,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,117,21.42
,1101000104,1,Finanzas,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,118,72.34
,1101000104,2,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-15,14:00,Campus Utpl,118,72.34
,1101000105,1,Educacion Basica,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,119,57.62
,1101000105,2,Agropecuaria,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,119,57.62
,1101000106,1,Alimentos,ADMISION,2024-11-15,11:00,Campus Utpl,120,78.46
,1101000106,2,Arquitectura,ADMISION,2024-11-15,11:00,Campus Utpl,120,78.46
,1101000107,1,Artes Escenicas,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,121,19.04
,1101000107,2,Psicologia,ADMISION,2024-11-16,08:00,Campus Utpl,121,19.04
,1101000108,1,Biologia,ADMISION,2024-11-15,10:00,Campus Utpl,122,65.9
,1101000108,2,Geologia,ADMISION,2024-11-15,10:00,Campus Utpl,122,65.9
,1101000109,1,Biologia,ADMISION,2024-11-16,11:00,Campus Utpl,123,42.36
,1101000109,2,Nutricion y Dietetica,ADMISION,2024-11-16,11:00,Campus Utpl,123,42.36
,1101000110,1,Educacion Basica,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,124,86.38
,1101000110,2,Derecho,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,124,86.38
,1101000111,1,Nutricion y Dietetica,ADMISION,2024-11-16,15:00,Campus Utpl,125,67.34
,1101000111,2,Telecomunicaciones,ADMISION,2024-11-16,15:00,Campus Utpl,125,67.34
,1101000112,1,Psicologia Clinica,ADMISION,2024-11-15,11:00,Campus Utpl,126,9.84
,1101000112,2,Marketing,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,126,9.84
,1101000113,1,Nutricion y Dietetica,ADMISION,2024-11-16,08:00,Campus Utpl,127,72.82
,1101000113,2,Medicina,ADMISION,2024-11-16,08:00,Campus Utpl,127,72.82
,1101000114,1,Finanzas,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,128,24.87
,1101000114,2,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,128,24.87
,1101000115,1,Psicologia Clinica,ADMISION,2024-11-16,09:00,Campus Utpl,129,53.63
,1101000115,2,Administracion de Empresas,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,129,53.63
,1101000116,1,Comunicacion,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,101,42.19
,1101000116,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-15,10:00,Campus Utpl,101,42.19
,1101000117,1,Geologia,ADMISION,2024-11-16,08:00,Campus Utpl,102,46.26
,1101000117,2,Derecho,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,102,46.26
,1101000118,1,Psicologia,ADMISION,2024-11-15,14:00,Campus Utpl,103,44.31
,1101000118,2,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-15,14:00,Campus Utpl,103,44.31
,1101000119,1,Pedagogia de los Idiomas Nac. y Ext.,ADMISION,2024-11-16,15:00,Campus Utpl,104,9.79
,1101000119,2,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-16,15:00,Campus Utpl,104,9.79
,1101000120,1,Administracion de Empresas,DIAGNOSTICO,2024-11-15,08:00,Campus Utpl,105,99.93
,1101000120,2,Medicina,ADMISION,2024-11-15,08:00,Campus Utpl,105,99.93
,1101000121,1,Marketing,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,106,96.9
,1101000121,2,Educacion Basica,DIAGNOSTICO,2024-11-16,09:00,Campus Utpl,106,96.9
,1101000122,1,Artes Escenicas,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,107,16.63
,1101000122,2,Arquitectura,ADMISION,2024-11-15,11:00,Campus Utpl,107,16.63
,1101000123,1,Finanzas,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,108,48.14
,1101000123,2,Telecomunicaciones,ADMISION,2024-11-16,11:00,Campus Utpl,108,48.14
,1101000124,1,Marketing,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,109,90.24
,1101000124,2,Derecho,DIAGNOSTICO,2024-11-15,09:00,Campus Utpl,109,90.24
,1101000125,1,Comunicacion,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,110,37.9
,1101000125,2,Derecho,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,110,37.9
,1101000126,1,Psicopedagogia,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,111,26.52
,1101000126,2,Finanzas,DIAGNOSTICO,2024-11-15,11:00,Campus Utpl,111,26.52
,1101000127,1,Medicina,ADMISION,2024-11-16,15:00,Campus Utpl,112,28.52
,1101000127,2,Ingenieria en Sistemas Computacionales,ADMISION,2024-11-16,15:00,Campus Utpl,112,28.52
,1101000128,1,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,113,95.73
,1101000128,2,Artes Escenicas,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,113,95.73
,1101000129,1,Bioquimica y Farmacia,ADMISION,2024-11-16,11:00,Campus Utpl,114,66.19
,1101000129,2,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-16,11:00,Campus Utpl,114,66.19
,1101000130,1,Agropecuaria,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,115,15.48
,1101000130,2,Educacion Basica,DIAGNOSTICO,2024-11-15,10:00,Campus Utpl,115,15.48
,1101000131,1,Enfermeria,ADMISION,2024-11-16,08:00,Campus Utpl,116,21.77
,1101000131,2,Derecho,DIAGNOSTICO,2024-11-16,08:00,Campus Utpl,116,21.77
,1101000132,1,Telecomunicaciones,ADMISION,2024-11-15,14:00,Campus Utpl,117,57.92
,1101000132,2,Ciencias Politicas y Rel. Internacionales,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,117,57.92
,1101000133,1,Enfermeria,ADMISION,2024-11-16,10:00,Campus Utpl,118,6.1
,1101000133,2,Economia,DIAGNOSTICO,2024-11-16,10:00,Campus Utpl,118,6.1
,1101000134,1,Contabilidad y Auditoria,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,119,5.72
,1101000134,2,Marketing,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,119,5.72
,1101000135,1,Nutricion y Dietetica,ADMISION,2024-11-16,14:00,Campus Utpl,120,47.68
,1101000135,2,Medicina,ADMISION,2024-11-16,14:00,Campus Utpl,120,47.68
,1101000136,1,Comunicacion,DIAGNOSTICO,2024-11-15,14:00,Campus Utpl,121,15.74
,1101000136,2,Medicina,ADMISION,2024-11-15,14:00,Campus Utpl,121,15.74
